,symbol,time,open,high,low,close,volume
0,GOOG,2019-12-18,1356.6,1360.47,1351.0,1352.62,1657069
0,GOOG,2019-12-17,1362.89,1365.0,1351.32,1355.12,1855259
0,GOOG,2019-12-16,1356.5,1364.68,1352.67,1361.17,1397451
0,GOOG,2019-12-13,1347.95,1353.09,1343.87,1347.83,1550028
0,GOOG,2019-12-12,1345.94,1355.78,1340.5,1350.27,1281722
0,GOOG,2019-12-11,1350.84,1351.2,1342.67,1345.02,850796
0,GOOG,2019-12-10,1341.5,1349.97,1336.04,1344.66,1094653
0,GOOG,2019-12-09,1338.04,1359.45,1337.84,1343.56,1355795
0,GOOG,2019-12-06,1333.44,1344.0,1333.44,1340.62,1315510
0,GOOG,2019-12-05,1328.0,1329.36,1316.44,1328.13,1212818
0,GOOG,2019-12-04,1307.01,1325.8,1304.87,1320.54,1538110
0,GOOG,2019-12-03,1279.57,1298.46,1279.0,1295.28,1268647
0,GOOG,2019-12-02,1301.0,1305.83,1281.0,1289.92,1511851
0,GOOG,2019-11-29,1307.12,1310.2,1303.97,1304.96,586981
0,GOOG,2019-11-27,1315.0,1318.36,1309.63,1312.99,996329
0,GOOG,2019-11-26,1309.86,1314.8,1305.09,1313.55,1069795
0,GOOG,2019-11-25,1299.18,1311.31,1298.13,1306.69,1036487
0,GOOG,2019-11-22,1305.62,1308.73,1291.41,1295.34,1386506
0,GOOG,2019-11-21,1301.48,1312.59,1293.0,1301.35,995499
0,GOOG,2019-11-20,1311.74,1315.0,1291.15,1303.05,1309835
0,GOOG,2019-11-19,1327.7,1327.7,1312.8,1315.46,1269372
0,GOOG,2019-11-18,1332.22,1335.53,1317.5,1320.7,1488083
0,GOOG,2019-11-15,1318.94,1334.88,1314.28,1334.87,1782955
0,GOOG,2019-11-14,1297.5,1317.0,1295.65,1311.46,1194305
0,GOOG,2019-11-13,1294.07,1304.3,1293.51,1298.0,853861
0,GOOG,2019-11-12,1300.0,1310.0,1295.77,1298.8,1085859
0,GOOG,2019-11-11,1303.18,1306.42,1297.41,1299.19,1012429
0,GOOG,2019-11-08,1305.28,1318.0,1304.37,1311.37,1251916
0,GOOG,2019-11-07,1294.28,1323.74,1294.24,1308.86,2029970
0,GOOG,2019-11-06,1289.46,1293.73,1282.5,1291.8,1152977
0,GOOG,2019-11-05,1292.89,1298.93,1291.23,1292.03,1282711
0,GOOG,2019-11-04,1276.45,1294.13,1276.36,1291.37,1500964
